Product Name,Product Price,Warranty Period(Months),Processor Type,Screen Size(inch),Operating System,product type,Color,Storage Capacity,RAM(GB),Network and Communication,Touch Display,Display Resolution,Battery Type
MSI Modern 15 H AI,2529,24.0,Intel Core Ultra 5 125H,15.6,Windows 11 Home,Laptop,Black,512 GB,16,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Polymer (Li-Po) - 3 Cell
Huawei MateBook D 16 2024,2199,24.0,Intel Core i5-12450H (12th Gen),16.0,Windows 11 Home,Laptop,Mystic Silver,512 GB PCIe NVMe M.2 SSD,8,Wi-Fi (6)/Bluetooth (5.1),No,1920 X 1200 (WUXGA),Lithium Polymer (Li-Po)
Apple MacBook Pro 14 M4 Pro Retina XDR,9499,24.0,M4 Pro 12-core CPU,14.2,macOS Sequoia,Laptop,Silver,512 GB SSD,24,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
MSI Modern 14,1629,24.0,Intel Core i5-1235U (12th Gen),14.0,Windows 11,Laptop,Black,512 GB PCIe NVMe M.2 SSD,8,Wi-Fi (6E)/Bluetooth (5.2),No,1920 X 1080 (FHD),Lithium Ion Polymer (Li-Poly) - 3 Cell
Apple MacBook Pro 14 M4 Pro Retina XDR,11399,24.0,M4 Pro 14-core CPU,14.2,macOS Sequoia,Laptop,Space Black,1 TB SSD,24,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sonoma,Laptop,Space Grey,256 GB SSD,8,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Polymer (Li-Po)
HP EliteBook 840 G10,6019,24.0,Intel Core i7-1370P (13th Gen),14.0,Windows 11 Pro,Laptop,Aluminum Silver,1 TB M.2 NVMe PCIe 4.0 SSD,32,Wi-Fi (6E)/Bluetooth (5.2),No,1920 X 1200 (WUXGA),Lithium Polymer (Li-Po) - 3 Cell
Lenovo Yoga Pro 9,8499,24.0,Intel Core Ultra 9 185H,16.0,Windows 11 Home,Laptop,Luna Grey,1 TB PCIe NVMe M.2 SSD,32,Wi-Fi (6E)/Bluetooth (5.1),Yes,3200 X 2000,Lithium Polymer (Li-Po)
Huawei MateBook D 14,2699,24.0,Intel Core i5-12450H (12th Gen),14.0,Windows 11 Home,Laptop,Mystic Silver,512 GB PCIe NVMe M.2 SSD,16,Wi-Fi (6)/Bluetooth (5.1),No,1920 X 1080 (FHD),Lithium Polymer (Li-Po) - 4 Cell
Apple MacBook Pro 14 M4 Retina XDR,7499,24.0,M4 10-core CPU,14.2,macOS Sequoia,Laptop,Silver,512 GB SSD,16,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sequoia,Laptop,Silver,256 GB SSD,16,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Polymer (Li-Po)
Asus Vivobook 16X,3399,24.0,Intel Core i7-12700H (12th Gen),16.0,Windows 11 Home,Laptop,Indie Black,1 TB M.2 NVMe PCIe 3.0 SSD,16,Wi-Fi/Bluetooth,No,1920 X 1200,Lithium Ion (Li-Ion) - 3 Cell
Apple MacBook Pro 14 M4 Pro Retina XDR,9499,24.0,M4 Pro 12-core CPU,14.2,macOS Sequoia,Laptop,Space Black,512 GB SSD,24,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
Acer Swift Go 14,4529,24.0,Intel Core Ultra 7 155H (Evo),14.0,Windows 11,Laptop,Silver,1 TB SSD,32,Wi-Fi (6E)/Bluetooth (5.0),No,2880 X 1800,Lithium Ion (Li-Ion)
Huawei MateBook X Pro,6999,24.0,Intel Core Ultra 7 155H,14.2,Windows 11 Home,Laptop,Black,1 TB PCIe NVMe M.2 SSD,16,Wi-Fi (6E)/Bluetooth (5.3),Yes,3120 X 2080,Lithium Polymer (Li-Po)
Asus Vivobook S 15 OLED,2399,24.0,Intel Core i5-13500H (Evo 13th EVO),15.6,Windows 11 Home,Laptop,Cool Silver,512 GB PCIe NVMe M.2 SSD,8,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion) - 3 Cell
Apple MacBook Air 15 M3,7899,24.0,M3 8-core CPU,15.3,macOS Sequoia,Laptop,Midnight,512 GB SSD,24,Wi-Fi/Bluetooth,No,2880 X 1864,Lithium Polymer (Li-Po)
HP Notebook 15s,2319,24.0,Intel Core i5-1334U (13th Gen),15.6,Windows 11,Laptop,Natural Silver,512 GB PCIe NVMe M.2 SSD,8,Wi-Fi (6)/Bluetooth (5.0),No,1920 X 1080 (FHD),Lithium Ion Polymer (Li-Poly) - 3 Cell
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sonoma,Laptop,Starlight,512 GB SSD,16,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Polymer (Li-Po)
Acer Aspire 3,1929,24.0,Intel Core i5-1235U (12th Gen),15.6,Windows 11,Laptop,Silver,512 GB NVMe M.2 SSD,8,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion) - 4 Cell
Lenovo IdeaPad Slim 3,2229,24.0,Intel Core i5-12450H (12th Gen),15.6,Windows 11 Home,Laptop,Arctic Grey,1 TB PCIe NVMe M.2 SSD,16,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion)
Asus Vivobook Go 15,1499,24.0,Intel Core i3-N305 (13th Gen),15.6,Windows 11 Home,Laptop,Cool Silver,512 GB PCIe 3.0 NVMe M.2 SSD,8,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion) - 3 Cell
Honor MagicBook Art 14,5999,24.0,Intel Core Ultra 7 155H,14.6,Windows 11 Home,Laptop,Emerald Green,1 TB,32,Wi-Fi (6E)/Bluetooth (5.3),Yes,3120 X 2080,Lithium Polymer (Li-Po)
Renewed Grade B Apple MacBook Pro 14 M3 Retina XDR,6499,3.0,M3 8-core CPU,14.2,macOS Sonoma,Laptop,Space Grey,1 TB SSD,8,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
Huawei MateBook X Pro,8499,24.0,Intel Core Ultra 9 185H,14.2,Windows 11 Home,Laptop,Morandi Blue,2 TB PCIe NVMe M.2 SSD,32,Wi-Fi (6E)/Bluetooth (5.3),Yes,3120 X 2080,Lithium Polymer (Li-Po)
Lenovo IdeaPad 5 Pro,4699,24.0,Intel Core i7-13700H (13th Gen),16.0,Windows 11,Laptop,Arctic Grey,512 GB NVMe M.2 SSD,16,Wi-Fi/Bluetooth,No,2560 X 1600 (WQXGA),Lithium Ion (Li-Ion)
Lenovo Yoga Slim 6,3729,24.0,Intel Core i7-13700H (13th Gen),14.0,Windows 11 Home,Laptop,Misty Grey,512 GB NVMe M.2 SSD,16,Wi-Fi/Bluetooth,No,1920 X 1200 (WUXGA),Lithium Polymer (Li-Po) - 4 Cell
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sequoia,Laptop,Space Grey,256 GB SSD,16,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Polymer (Li-Po)
Asus Vivobook 16,2399,24.0,Intel Core i7-1355U (13th Gen),16.0,Windows 11,Laptop,Indie Black,512 GB PCIe NVMe M.3 SSD,8,Wi-Fi/Bluetooth,No,1920 X 1200 (WUXGA),Lithium Ion (Li-Ion) - 3 Cell
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sonoma,Laptop,Silver,256 GB SSD,8,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Polymer (Li-Po)
Apple MacBook Pro 14 M3 Pro Retina XDR,11299,24.0,M3 Pro 12-core CPU,14.2,macOS Sonoma,Laptop,Space Black,1 TB SSD,18,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
Huawei MateBook 14,4999,24.0,Intel Core Ultra 7 155H,14.2,Windows 11 Home,Laptop,Green,1 TB M.2 NVMe PCIe 4.0 SSD,16,Wi-Fi (6)/Bluetooth (5.1),No,2880 X 1920,Lithium Polymer (Li-Po)
Asus Vivobook Go 15 OLED,1899,24.0,AMD Ryzen 5-7520U,15.6,Windows 11,Laptop,Green Grey,512 GB PCIe NVMe M.2 SSD,8,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion) - 3 Cell
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sequoia,Laptop,Midnight,256 GB SSD,16,Wi-Fi/Bluetooth,No,2880 X 1864,Lithium Polymer (Li-Po)
Asus Vivobook 15,2799,24.0,Intel Core i7-1355U (13th Gen),15.6,Windows 11 Home,Laptop,Quiet Blue,512 GB PCIe NVMe M.2 SSD,16,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion) - 3 Cell
Apple MacBook Air 15 M3,7899,24.0,M3 8-core CPU,15.3,macOS Sonoma,Laptop,Midnight,512 GB SSD,16,Wi-Fi/Bluetooth,No,2880 X 1864,Lithium Polymer (Li-Po)
Apple MacBook Air 15 M2,5799,24.0,M2 8-core CPU 16-core Neural Engine,15.3,macOS Ventura,Laptop,Starlight,256 GB SSD,8,Wi-Fi/Bluetooth,No,2880 X 1864,Lithium Polymer (Li-Po)
Apple MacBook Pro 14 M3 Retina XDR,6899,24.0,M3 8-core CPU,14.2,macOS Sonoma,Laptop,Silver,512 GB SSD,8,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
Apple MacBook Pro 16 M3 Pro Retina XDR,10899,24.0,M3 Pro 12-core CPU,16.0,macOS Sonoma,Laptop,Space Black,512 GB SSD,18,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Monterey,Laptop,Starlight,256 GB SSD,8,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Ion Polymer (Li-Poly)
Lenovo Yoga Pro 7,7329,24.0,Intel Core Ultra 9 185H,14.5,Windows 11 Home,Laptop,Luna Grey,1 TB PCIe NVMe M.2 SSD,32,Wi-Fi (6E)/Bluetooth (5.3),Yes,3072 X 1920,Lithium Polymer (Li-Po)
Asus Vivobook 15,2399,24.0,Intel Core i5-1335U (13th Gen),15.6,Windows 11,Laptop,Quiet Blue,512 GB PCIe NVMe M.2 SSD,8,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion) - 3 Cell
Asus Vivobook Go 15 OLED,2099,24.0,AMD Ryzen 5-7520U,15.6,Windows 11 Home,Laptop,Green Grey,512 GB PCIe NVMe M.2 SSD,16,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion) - 3 Cell
Apple MacBook Air 13 M3,6199,24.0,M3 8-core CPU,13.6,macOS Sonoma,Laptop,Space Grey,512 GB SSD,8,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Polymer (Li-Po)
HP Pavilion Plus 14-ew1001nx,5499,24.0,Intel Core Ultra 7 155H,14.0,Windows 11 Home,Laptop,Natural Silver,1 TB PCIe NVMe M.2 SSD,32,Wi-Fi (6E)/Bluetooth (5.3),No,2880 X 1800 (OLED),Lithium Ion Polymer (Li-Poly) - 4 Cell
Microsoft Surface  7,6299,24.0,Snapdragon X Elite 12 Core,13.8,Windows 11 Home,Laptop,Dune,512 GB SSD,16,Wi-Fi (7)/Bluetooth (5.4),Yes,2304 X 1536,Lithium Ion (Li-Ion) - 6 Cell
Dell Vostro 3520,3299,24.0,Intel Core i7-1255U (12th Gen),15.6,Windows 11 Home,Laptop,Carbon Black,512 GB NVMe M.2 SSD,8,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion) - 4 Cell
Huawei MateBook D 15,3449,24.0,Intel Core i7-1195G7 (11th Gen),15.6,Windows 11,Laptop,Mystic Silver,512 GB NVMe M.2 SSD,16,Wi-Fi/Bluetooth,No,1920 X 1080 (WUXGA),Lithium Polymer (Li-Po) - 3 Cell
HP,3399,24.0,Intel Core i7-1355U (13th Gen),15.6,Windows 11,Laptop,Natural Silver,512 GB NVMe M.2 SSD,16,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion Polymer (Li-Poly) - 3 Cell
Apple MacBook Pro 14 M4 Retina XDR,8499,24.0,M4 10-core CPU,14.2,macOS Sequoia,Laptop,Silver,1 TB SSD,16,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
Lenovo ThinkPad E14 Gen 6,4799,24.0,Intel Core Ultra 5 125U,14.0,Windows 11 Pro,Laptop,Black,512 GB NVMe M.2 SSD,8,Wi-Fi/Bluetooth,No,1920 X 1200 (WUXGA),Lithium Polymer (Li-Po)
Renewed Grade B Apple MacBook Pro 14 M2 Pro Retina XDR,6499,3.0,M2 Pro 10-core CPU 16-core Neural Engine,14.2,macOS Ventura,Laptop,Space Grey,512 GB SSD,16,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Ion Polymer (Li-Poly)
Renewed Grade A Apple MacBook Air 13 M2 Retina,2999,6.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Monterey,Laptop,Midnight,256 GB SSD,8,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Ion Polymer (Li-Poly)
Asus Zenbook DUO  (with Sleeve Case & Stylus),7799,24.0,Intel Core Ultra 9 185H,14.0,Windows 11 (with Windows 11 Copilot),Laptop (with Sleeve Case & Stylus),Inkwell Grey,2 TB M.2 PCIe NVMe 4.0 SSD,32,Wi-Fi (6E)/Bluetooth (5.3),Yes,2880 X 1800 (OLED),Lithium Ion (Li-Ion) - 4 Cell
Apple MacBook Air 15 M3,6999,24.0,M3 8-core CPU,15.3,macOS Sonoma,Laptop,Midnight,512 GB SSD,8,Wi-Fi/Bluetooth,No,2880 X 1864,Lithium Polymer (Li-Po)
Dell Vostro 3520,1849,24.0,Intel Core i3-1215U (12th Gen),15.6,Windows 11 Home,Laptop,Carbon Black,512 GB NVMe M.2 SSD,8,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion) - 3 Cell
Apple MacBook Pro 14 M4 Retina XDR,9399,24.0,M4 10-core CPU,14.2,macOS Sequoia,Laptop,Silver,1 TB SSD,24,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
Apple MacBook Air 15 M3,7899,24.0,M3 8-core CPU,15.3,macOS Sequoia,Laptop,Space Grey,512 GB SSD,24,Wi-Fi/Bluetooth,No,2880 X 1864,Lithium Polymer (Li-Po)
Apple MacBook Air 13 M2 Retina,5699,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Monterey,Laptop,Space Grey,512 GB SSD,8,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Ion Polymer (Li-Poly)
Huawei MateBook D 15,3049,24.0,Intel Core i5-1155G7 (11th Gen),15.6,Windows 11,Laptop,Mystic Silver,512 GB NVMe M.2 SSD,8,Wi-Fi/Bluetooth,No,1920 X 1080 (WUXGA),Lithium Polymer (Li-Po) - 3 Cell
Renewed Grade A Apple MacBook Pro 14 M3 Retina XDR,6799,6.0,M3 8-core CPU,14.2,macOS Sonoma,Laptop,Silver,1 TB SSD,8,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
HP Pavilion,4299,24.0,Intel Core i7-1360P (13th Gen),15.6,Windows 11,Laptop,Natural Silver,1 TB PCIe NVMe M.2 SSD,16,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion) - 3 Cell
MSI Modern 14,2799,24.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11,Laptop,Platinum Grey,512 GB NVMe M.2 SSD,16,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion) - 3 Cell
Apple MacBook Pro 14 M3 Retina XDR,6899,24.0,M3 8-core CPU,14.2,macOS Sonoma,Laptop,Space Grey,512 GB SSD,8,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
MSI Modern 14,1629,24.0,Intel Core i5-1235U (12th Gen),14.0,Windows 11,Laptop,Silver,512 GB PCIe NVMe M.2 SSD,8,Wi-Fi (6E)/Bluetooth (5.2),No,1920 X 1080 (FHD),Lithium Ion Polymer (Li-Poly) - 3 Cell
Renewed Grade A Apple MacBook Air 13 M2 Retina,2999,6.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Monterey,Laptop,Starlight,256 GB SSD,8,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Ion Polymer (Li-Poly)
Apple MacBook Pro 14 M4 Retina XDR,7499,24.0,M4 10-core CPU,14.2,macOS Sequoia,Laptop,Space Black,512 GB SSD,16,Wi-Fi/Bluetooth,No,3024 X 1964,Lithium Polymer (Li-Po)
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sequoia,Laptop,Silver,256 GB SSD,16,Wi-Fi/Bluetooth,No,2880 X 1864,Lithium Polymer (Li-Po)
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sonoma,Laptop,Starlight,256 GB SSD,8,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Polymer (Li-Po)
Apple MacBook Air 13 M2 Retina,5699,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Monterey,Laptop,Midnight,512 GB SSD,8,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Ion Polymer (Li-Poly)
HP Notebook,2999,24.0,AMD Ryzen 7-7730U,15.6,Windows 11 Home,Laptop,Natural Silver,512 GB SSD,16,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion Polymer (Li-Poly) - 3 Cell
Apple MacBook Air 15 M2,5999,24.0,M2 8-core CPU 16-core Neural Engine,15.3,macOS Ventura,Laptop,Space Grey,512 GB SSD,8,Wi-Fi/Bluetooth,No,2880 X 1864,Lithium Polymer (Li-Po)
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sequoia,Laptop,Starlight,256 GB SSD,16,Wi-Fi/Bluetooth,No,2560 X 1664,Lithium Polymer (Li-Po)
Lenovo IdeaPad Pro 5,5029,24.0,Intel Core Ultra 7 155H,16.0,Windows 11 Home,Laptop,Arctic Grey,512 GB NVMe M.2 SSD,16,Wi-Fi (6E)/Bluetooth (5.2),No,2048 X 1280,Lithium Polymer (Li-Po)
Huawei MateBook D 14,2799,24.0,Intel Core i5-1155G7 (11th Gen),14.0,Windows 11,Laptop,Mystic Silver,512 GB NVMe M.2 SSD,8,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Polymer (Li-Po) - 4 Cell
Dell Vostro 3520,2499,24.0,Intel Core i5-1235U (12th Gen),15.6,Windows 11 Home,Laptop,Carbon Black,512 GB NVMe M.2 SSD,8,Wi-Fi/Bluetooth,No,1920 X 1080 (FHD),Lithium Ion (Li-Ion) - 3 Cell
Apple MacBook Air 15 M2,5799,24.0,M2 8-core CPU 16-core Neural Engine,15.3,macOS Ventura,Laptop,Midnight,256 GB SSD,8,Wi-Fi/Bluetooth,No,2880 X 1864,Lithium Polymer (Li-Po)
Microsoft Surface Pro 9,6799,24.0,Intel Core i7-1265U (12th Gen) Evo Platform,13.0,Windows 11 Home,2-in-1,Graphite,512GB SSD M.2,16,WiFi 6E (802.11ax) and Bluetooth 5.1,True,2880X1920 (267 PPI),Up to 15.5 hours of typical device usage
Acer Travelmate TMP215-53-596G,1899,36.0,Intel Core i5-1135G7 (11th Gen),15.6,Dos,Business,Shale Black,512GB SSD M.2,8,Wi-Fi 6 + Bluetooth 5.0,False,1920x1080,Lithium Ion (Li-Ion)
HP 15-fd0021nx,1149,24.0,Intel Core i3-1315U (13th Gen),15.6,Dos,standard,Natural Silver,256GB SSD M.2,4,Wi-Fi 6 + Bluetooth 5.3,False,1920x1080,"3-cell, 41 Wh Li-ion"
MacBook Air M2 15.3 2023,4499,24.0,Apple M2 chip,15.3,macOS Ventura,standard,Midnight,256GB SSD,8,Wi-Fi 6 + Bluetooth 5.3,False,Liquid Retina 2880x1864,Up to 18 hours of typical device usage
Acer Aspire 3 A315-58-74GF,1999,24.0,Intel Core i7-1165G7 (11th Gen),15.6,Dos,standard,Pure Silver,512GB SSD M.2,8,Wi-Fi + Bluetooth,False,1920x1080,36Wh Li-ion battery
Asus ROG Zephyrus GU603VV-N4078W,7199,24.0,Intel Core i7-13620H (13th Gen),16.0,Windows 11 Home,Gaming,Eclipse Gray,1TB SSD M.2,32,WiFi 6E + Bluetooth 5.3,False,2560 x1600 QHD,"90WHrs, 4S1P, 4-cell Li-ion"
HP Elite Dragonfly G3,6999,36.0,Intel Core i7-1255U (12th Gen),13.5,Windows 11 Professional,Business,Slate blue,512GB SSD M.2,16,Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3,True,"WUXGA+ 1920x1280, IPS","HP Long Life 6-cell, 68 Wh Li-ion polymer"
Apple MacBook Pro M3,7199,24.0,Apple M3 chip,14.2,macOS Sonoma,standard,Silver,512GB SSD,8,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,False,3024x1964,70-watt-hour lithium-polymer battery
ThinkPad E15 Gen 4,7199,24.0,Intel Core i7-1255U (12th Gen),15.6,Dos,Business,Black,512GB SSD,8,Wi-Fi 6 + Bluetooth 5.1,False,1920 x 1080 FHD IPS,Lithium 3 Cell
HP EliteBook 640 14 inch G9,3299,36.0,Intel Core i7-1255U (12th Gen),14.0,Dos,Business,Silver,512GB SSD M.2,8,Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3,False,1920 x 1080 FHD IPS,"HP Long Life 3-cell, 51 Wh Li-ion"
Acer Aspire Lite AL14-31P-34U9,1299,24.0,Intel Core i3-N300,14.0,Dos,standard,Silver,512GB SSD M.2,8,Wi-Fi + Bluetooth,False,1920x1200,Integrated 45Wh
Acer Aspire 3 A315-59-58XR,1499,24.0,Intel Core i5-1235U (12th Gen),15.6,Dos,standard,Pure Silver,512GB SSD M.2,8,Wi-Fi + Bluetooth,False,1920x1080,50Wh Li-ion battery
Lenovo IdeaPad Flex 5 14IRU8,3299,24.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11 Home,2-in-1,Arctic Grey,512GB SSD M.2,16,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",True,1920x1200,Integrated 52.5Wh
Dell Latitude 3540,3299,24.0,Intel Core i7-1355U (13th Gen),15.6,Dos,Business,Black,512GB SSD M.2,8,Wi-Fi + Bluetooth,False,1920x1080,"3 Cell, Integrated 42Wh"
Microsoft Surface Pro 9,3899,24.0,Intel Core i5-1245U (12th Gen) Evo Platform,13.0,Windows 11 Home,2-in-1,Platinum,256GB SSD M.2,8,WiFi 6E (802.11ax) and Bluetooth 5.1,True,2880X1920 (267 PPI),Up to 15.5 hours of typical device usage
HP 15s-fq5037nx,2399,24.0,Intel Core i7-1255U (12th Gen),15.6,Dos,standard,Natural Silver,512GB SSD M.2,8,Wi-Fi + Bluetooth,False,1920x1080,"3-cell, 41 Wh Li-ion"
Dell Latitude 5540,2399,24.0,Intel Core i7-1355U (13th Gen),15.6,Dos,Business,Gray,512GB SSD M.2,16,"Intel Wi-Fi 6E AX211, 2x2, 802.11ax, Bluetooth wireless card",False,1920x1080,"3 Cell, integrated 54Wh"
Lenovo Yoga 7 14IRL8,4399,24.0,Intel Core i7-1360P (13th Gen),14.0,Windows 11 Home,2-in-1,Storm Grey,512GB SSD M.2,16,"Wi-Fi 6E, 11ax 2x2 + Bluetooth 5.1",True,1920x1200,Integrated 71Wh
Microsoft Surface Studio,4999,24.0,Quad-core Intel Core H35 i5-11300H (11th Gen),14.4,Windows 11 Home,Business,Platinum,256GB SSD,16,Wi-Fi 6 + Bluetooth 5.1,True,2400×1600,Up to 19 hours of typical device usage
Asus Vivobook X1502ZA-EJ289,1149,24.0,Intel Core i3-1215U (12th Gen),15.6,Dos,standard,Icelight Silver,256GB SSD M.2,4,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,False,1920x1080,Lithium Ion (Li-Ion) 3 Cell
Lenovo Legion 5 Pro 16IRX9,7499,24.0,Intel Core i7-14700HX (14th Generation),16.0,Windows 11 Home,Gaming,Onyx Grey,1TB SSD M.2,16,WiFi 6E + Bluetooth 5.2,False,2560x1600 WQXGA,Integrated 80Wh
Acer Aspire 3 A315-59-74JV,1899,24.0,Intel Core i7-1255U (12th Gen),15.6,Dos,standard,Pure Silver,512GB SSD M.2,8,Wi-Fi + Bluetooth,False,1920x1080,50Wh Li-ion battery
Latitude 3450,1899,24.0,Intel Core i7-1355U (13th Gen),14.0,Dos,Business,Black,512GB SSD M.2,16,"Intel Wi-Fi 6E AX211, 2x2, 802.11ax, Bluetooth wireless card",False,1920x1080,"3 Cell, integrated 54Wh"
HP Victus Gaming 16-r0007nx,5099,24.0,Intel Core i7-13700H (13th Gen),16.1,Dos,Gaming,Mica Silver,1TB SSD M.2,32,WiFi 6E + Bluetooth 5.3,False,1920x1080,"4-cell, 70 Wh Li-ion polymer"
Apple MacBook Pro 16-Inch M3 Pro,11299,24.0,Apple M3 Pro chip,16.2,macOS Sonoma,standard,Space Black,512GB SSD,18,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,False,3456x2234,100-watt-hour lithium-polymer battery
ThinkBook 15 G4 IAP,11299,36.0,Intel Core i7-1255U (12th Gen),15.6,Windows 11 Professional,Business,Mineral Grey,512GB SSD M.2,16,Wi-Fi 6 + Bluetooth 5.1,False,1920x1080,Lithium 3 Cell
apple MacBook Air M2 (2024),11299,24.0,Apple M2 chip,13.6,macOS Monterey,standard,Steel Gray,256GB SSD,16,Wi-Fi 6 + Bluetooth 5.3,False,Liquid Retina 2560x1664,52.6-watt‑hour lithium‑polymer battery
Acer Aspire 3 A315-59-31LZ,1149,24.0,Intel Core i3-1215U (12th Gen),15.6,Dos,standard,Pure Silver,512GB SSD M.2,8,Wi-Fi + Bluetooth,False,1920x1080,50Wh Li-ion battery
Lenovo Legion 5 Pro 16IRX9,8499,24.0,Intel Core i9-14900HX (14th Generation),16.0,Windows 11 Home,Gaming,Onyx Grey,1TB SSD M.2,32,WiFi 6E + Bluetooth 5.2,False,2560x1600 WQXGA,Integrated 80Wh
Lenovo LOQ 15IRX9 Gaming,3999,24.0,Intel Core i7-13650HX (13th Gen),15.6,Dos,Gaming,Luna Grey,512GB SSD M.2,16,Wi-Fi 6 + Bluetooth 5.1,False,1920x1080,Integrated 60Wh
HP 15-fd0019nx,2499,24.0,Intel Core i7-1355U (13th Gen),15.6,Dos,standard,Natural Silver,512GB SSD M.2,8,Wi-Fi 6 + Bluetooth 5.3,False,1920x1080,"3-cell, 41 Wh Li-ion"
Legion Go,2999,24.0,Extreme,8.8,Windows 11 Home,Gaming,Shadow Black,512GB SSD M.2,16,"AMD Wi-Fi 6E RZ616, 11ax 2x2 + Bluetooth 5.3",True,2560x1600 WQXGA,Li-Polymer 49.2Wh
Asus ROG Strix G16 G614JIR-N4003,7799,24.0,Intel Core i9-14900HX (14th Generation),16.0,Dos,Gaming,Eclipse Gray,1TB SSD M.2,32,WiFi 6E + Bluetooth 5.3,False,2560x1600 WQXGA,"90WHrs, 4S1P, 4-cell Li-ion"
ThinkBook 15 G4 IAP,7799,36.0,Intel Core i5-1235U (12th Gen),15.6,Windows 11 Professional,Business,Mineral Grey,512GB SSD M.2,4,Wi-Fi 6 + Bluetooth 5.1,False,1920x1080,Lithium 3 Cell
