Product Name,Product Type,Product Price,Color,Processor Type,RAM(GB),Storage Capacity,Screen Size(inch),Display Resolution,Touch Display,Network and Communication,Operating System,Battery Type,Warranty Period(Months)
Microsoft Surface Laptop 4 (13-Inch),Business,2999,Platinum,AMD Ryzen 5-4680U,8,256GB SSD,13.5,2256 x 1504 PPI,True,Wi-Fi 6 + Bluetooth 5.0,Windows 10 Home,Up to 19 hours of typical device usage,24.0
Asus Vivobook X1502ZA-EJ1181,standard,1699,Quiet Blue,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,Lithium Ion (Li-Ion) 3 Cell,24.0
Dell Latitude 3540,Business,1699,Black,Intel Core i5-1335U (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3 Cell, Integrated 42Wh",24.0
Acer Aspire 3 A315-58G-55XH,standard,2049,Pure Silver,Intel Core i5-1135G7 (11th Gen),8,1TB HDD,15.6,1920x1080,False,Not Available,Dos,Lithium Ion (Li-Ion),24.0
Acer Nitro V 15 ANV15-41-R80C,Gaming,2699,Obsidian Black,AMD Ryzen 5-7535HS,8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Dos,57Wh Li-ion battery,24.0
Asus Vivobook X1502ZA-EJ1359,standard,2299,Quiet Blue,Intel Core i7-12700H (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,"3 Cell, Integrated 42Wh",24.0
HP 15-fd0020nx,standard,1849,Natural Silver,Intel Core i5-1335U (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"3-cell, 41 Wh Li-ion",24.0
Lenovo Legion 5 16IRX9,Gaming,6499,Luna Grey,Intel Core i9-14900HX (14th Generation),16,1TB SSD M.2 2280 PCIe 4.0x4 NVMe,16.0,2560x1600 WQXGA,False,WiFi 6E + Bluetooth 5.2,Dos,Integrated 80Wh,24.0
Asus Vivobook X1605ZA-MB305,standard,1849,Indie Black,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,16.0,WUXGA 1920x1200 IPS,False,Wi-Fi 6 (802.11ax)+Bluetooth 5.0 (Dual band) 2*2,Dos,Lithium Ion (Li-Ion) 3 Cell,24.0
Asus TUF Gaming FX507ZU4-LP040,Gaming,4199,Mecha Gray,Intel Core i7-12700H (12th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 (802.11ax)+Bluetooth 5.2 (Dual band) 2*2,Dos,"90WHrs, 4S1P, 4-cell Li-ion",24.0
ThinkPad E14 Gen 4,Business,4199,Black,Intel Core i5-1235U (12th Gen),8,256GB SSD M.2,14.0,1920 x 1080 FHD IPS,False,Wi-Fi 6 + Bluetooth 5.1,Dos,Lithium 3 Cell,24.0
Dell Latitude 3550,Business,4199,Black,Intel Core i7-1355U (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Intel Wi-Fi 6E + Bluetooth Wireless Card,Dos,"3 Cell, Integrated 42Wh",24.0
Dell Vostro 15 3520,standard,1349,Black,Intel Core i3-1215U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3-cell, 41 Wh Li-ion",24.0
apple MacBook Air M2,standard,5299,Space Gray,Apple M2 chip,8,512GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6 + Bluetooth 5.0,macOS Monterey,Lithium Polymer (Li-Po),24.0
ThinkPad T14 Gen 4 (Intel),Business,5299,Thunder Black,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,14.0,1920x1200,False,"Intel Wi-Fi 6E AX211, 11ax 2x2 + Bluetooth 5.3",Windows 11 Professional,Integrated 52.5Wh,36.0
Asus Vivobook X1504VA-NJ108,standard,2299,Cool Silver,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
Apple MacBook Pro M3,standard,8099,Space Gray,Apple M3 chip,8,1TB SSD,14.2,3024x1964,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,70-watt-hour lithium-polymer battery,24.0
Legion Pro 5 16IRX8,Gaming,6999,Onyx Grey,Intel Core i9-13900HX (13th Gen),32,1TB SSD M.2,16.0,2560x1600 WQXGA,False,"Wi-Fi 6E, 11ax 2x2 + Bluetooth 5.2",Dos,Integrated 80Wh,24.0
Asus Vivobook X1504VA-NJ089,standard,1699,Quiet Blue,Intel Core i5-1335U (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 + Bluetooth 5.1,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
apple MacBook Air M2 (2024),standard,1699,Silver,Apple M2 chip,16,256GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6 + Bluetooth 5.3,macOS Monterey,52.6-watt‑hour lithium‑polymer battery,24.0
HP ProBook 450 15.6 inch G10 Notebook PC,Business,1699,Silver,Intel Core i5-1335U (13th Gen),8,512GB SSD M.2,15.6,1920 x 1080 FHD IPS,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"HP Long Life 3-cell, 42 Wh Li-ion",24.0
Microsoft Surface Pro 9,2-in-1,3699,Sapphire,Intel Core i5-1245U (12th Gen) Evo Platform,8,256GB SSD M.2,13.0,2880X1920 (267 PPI),True,WiFi 6E (802.11ax) and Bluetooth 5.1,Windows 11 Home,Up to 15.5 hours of typical device usage,24.0
Asus EXPERTBOOK B1500CBA-EJ0094,Business,2349,Star Black,Intel Core i7-1255U (12th Gen),16,1TB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
HP 250 G10,standard,2549,Turbo silver with Aluminum Top Cover,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"HP Long Life 3-cell, 41 Wh Li-ion",24.0
IdeaPad 3 15IAU7,standard,2099,Arctic Grey,Intel Core i7-1255U (12th Gen),8,256GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Dos,Integrated 45Wh,24.0
Asus ExpertBook B1402CBA-NK2746,Business,2199,Star Black,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,14.0,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
ThinkPad E15 Gen 4 (AMD),Business,2199,Black,AMD Ryzen 7-5825U,8,512GB SSD M.2,15.6,1920x1080,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Windows 11 Professional,57Wh Li-ion battery,24.0
apple MacBook Air M2,standard,3999,Midnight,Apple M2 chip,8,256GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6 + Bluetooth 5.0,macOS Monterey,Lithium Polymer (Li-Po),24.0
HP 255 G9,Business,1599,Asteroid Silver,AMD Ryzen 5-5625U,16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3-cell, 41 Wh Li-ion",24.0
Apple MacBook Air M3,standard,6799,Silver,Apple M3 chip,16,512GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,52.6-watt‑hour lithium‑polymer battery,24.0
Apple MacBook Air M3,standard,6799,Midnight,Apple M3 chip,16,512GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,52.6-watt‑hour lithium‑polymer battery,24.0
Vostro 3530,Business,2399,Carbon Black,Intel Core i7-1355U (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"4 Cell, integrated 54Wh",24.0
Asus Vivobook X1500EP-EJ648,standard,1649,Transparent Silver,Intel Core i5-1135G7 (11th Gen),8,512GB SSD M.2 + 32GB Intel Optane Memory,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,Lithium Ion (Li-Ion) 2 Cell,24.0
Dell G15 5530 Gaming,Gaming,7399,Dark Shadow Grey,Intel Core i9-13900HX (13th Gen),32,2x 1TB SSD M.2,15.6,1920x1080,False,"Intel Wi-Fi 6 AX211, 2x2, 802.11ax, Bluetooth wireless card",Dos,"6-Cell Battery, 86WH, integrated",24.0
Apple MacBook Air M3,standard,6799,Starlight,Apple M3 chip,16,512GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,52.6-watt‑hour lithium‑polymer battery,24.0
MacBook Air M2 15.3 2023,standard,4499,Space Gray,Apple M2 chip,8,256GB SSD,15.3,Liquid Retina 2880x1864,False,Wi-Fi 6 + Bluetooth 5.3,macOS Ventura,Up to 18 hours of typical device usage,24.0
IdeaPad 3 15IAU7,standard,2249,Arctic Grey,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Dos,Integrated 45Wh,24.0
HP EliteBook 645 14 inch G9 Notebook PC,Business,2999,Silver,AMD Ryzen 7-5825U,16,512GB SSD M.2,14.0,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Windows 11 Professional,"HP Long Life 3-cell, 42 Wh Li-ion",36.0
ThinkPad E15 Gen 4,Business,2999,Black,Intel Core i5-1235U (12th Gen),8,256GB SSD M.2,15.6,1920 x 1080 FHD IPS,False,Wi-Fi 6 + Bluetooth 5.1,Dos,Lithium 3 Cell,24.0
Dell G15 5530 Gaming,Gaming,5899,Dark Shadow Grey,Intel Core i7-13650HX (13th Gen),16,1TB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Windows 11 Home,"6-Cell Battery, 86WH, integrated",24.0
Asus TUF Gaming FA507NV-LP020,Gaming,4499,Mecha Gray,AMD Ryzen 7-7735HS,16,1TB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"90WHrs, 4S1P, 4-cell Li-ion",24.0
Asus Vivobook X1504VA-NJ400,standard,2349,Cool Silver,Intel Core i7-1355U (13th Gen),8,1TB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
ThinkPad E16 Gen 1 (Intel),Business,2349,Graphite Black,Intel Core i7-13700H (13th Gen),16,512GB SSD M.2,16.0,1920x1200,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Integrated 57Wh,24.0
HP Dragonfly 13.5 inch G4 Notebook PC (818N5EA),Business,6999,Slate blue,Intel Core i7-1355U (13th Gen),32,1TB SSD M.2,13.5,"WUXGA+ 1920x1280, IPS",False,Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3,Windows 11 Professional,"HP Long Life 6-cell, 68 Wh Li-ion polymer",36.0
Lenovo IdeaPad 5 15IAL7,standard,2199,ABYSS Blue,Intel Core i5-1235U (12th Gen),16,512GB SSD M.2,15.6,1920x1080,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,57Wh Li-ion battery,24.0
Acer Aspire 5 A515-57G-78ZN,Gaming,2849,Steel Gray,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,50Wh Li-ion battery,24.0
HP Victus Gaming 16-s0008nx,Gaming,4299,Mica Silver,AMD Ryzen 7-7840HS,16,1TB SSD M.2,16.1,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"4-cell, 70 Wh Li-ion polymer",24.0
Lenovo IdeaPad Slim 3 15IRH8,standard,1749,Arctic Grey,Intel Core i5-13420H (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,Integrated 47Wh,24.0
Asus TUF Gaming FA507XI-LP018,Gaming,5499,Mecha Gray,AMD Ryzen 9-7940HS,16,1TB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"90WHrs, 4S1P, 4-cell Li-ion",24.0
Acer Nitro V 15 ANV15-51-76HP,Gaming,4299,Obsidian Black,Intel Core i7-13620H (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Dos,57Wh Li-ion battery,24.0
Apple MacBook Air M3,standard,6799,Space Gray,Apple M3 chip,16,512GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,52.6-watt‑hour lithium‑polymer battery,24.0
Dell G15 5530 Gaming,Gaming,5499,Dark Shadow Grey,Intel Core i7-13650HX (13th Gen),16,1TB SSD M.2,15.6,1920x1080,False,"Intel Wi-Fi 6 AX211, 2x2, 802.11ax, Bluetooth wireless card",Dos,"6-Cell Battery, 86WH, integrated",24.0
Lenovo Legion 5 16IRX9,Gaming,6299,Luna Grey,Intel Core i7-14650HX (14th Generation),16,512GB SSD M.2,16.0,2560x1600 WQXGA,False,WiFi 6E + Bluetooth 5.2,Windows 11 Home,Integrated 80Wh,24.0
Dell Vostro 15 3520,standard,1599,Black,Intel Core i5-1235U (12th Gen),4,256GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3-cell, 41 Wh Li-ion",24.0
Asus Vivobook X1504VA-NJ379,standard,2199,Cool Silver,Intel Core i7-1355U (13th Gen),8,512GB SSD M.2,15.6,2560x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
Apple MacBook Air 13-inch M3,standard,4649,Silver,Apple M3 chip,8,256GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,52.6-watt‑hour lithium‑polymer battery,24.0
Dell G15 5530 Gaming,Gaming,6699,Dark Shadow Grey,Intel Core i9-13900HX (13th Gen),32,1TB SSD M.2,15.6,1920x1080,False,"Intel Wi-Fi 6 AX211, 2x2, 802.11ax, Bluetooth wireless card",Dos,"6-Cell Battery, 86WH, integrated",24.0
Asus Vivobook X1504ZA-NJ055,standard,1149,Cool Silver,Intel Core i3-1215U (12th Gen),4,256GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
Asus E510MA-BR633WS,standard,799,Peacock Blue,Intel Celeron N4020,4,128GB eMMC,15.6,1366 x 768 HD,False,Wi-Fi 5 + Bluetooth 5.1,Windows 11 Home,"3-cell Li-ion, 42WHrs, 3S1P",24.0
IdeaPad 1 15IAU7,standard,2099,Cloud Grey,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"3 Cell, Integrated 42Wh",24.0
ASUS ROG Strix G17 G713RC-HX040,Gaming,3899,ECLIPSE GRAY,AMD Ryzen 7-6800H,16,1TB SSD M.2,17.3,1920x1080,False,Wi-Fi 6E (802.11ax) (Triple band) 2*2 + Bluetooth 5.3,Dos,"56WHrs, 4S1P, 4-cell Li-ion",24.0
Apple MacBook Pro 14-Inch M3 Pro,standard,10999,Space Black,Apple M3 Pro chip,18,1TB SSD,14.2,4480x2520,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,72.4-watt-hour lithium-polymer battery,24.0
Dell Vostro 15 3520,standard,1849,Black,Intel Core i5-1235U (12th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3-cell, 41 Wh Li-ion",24.0
Asus TUF Gaming FX707ZC4-HX062,Gaming,3149,Mecha Gray,Intel Core i5-12500H (12th Gen),16,1TB SSD M.2,17.3,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"56WHrs, 4S1P, 4-cell Li-ion",24.0
Yoga Slim 7 ProX 14ARH7,standard,3599,Onyx Grey,AMD Ryzen 7-6800HS,16,512GB SSD M.2,14.5,3072x1920,False,Wi-Fi 6 + Bluetooth 5.1,Windows 11 Home,"4 Cell, Integrated 70Wh",24.0
Apple MacBook Air M3,standard,5799,Starlight,Apple M3 chip,8,512GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,52.6-watt‑hour lithium‑polymer battery,24.0
Lenovo Legion 5 Pro 16IRX9,Gaming,8499,Onyx Grey,Intel Core i7-14700K (14th Generation),32,1TB SSD M.2,16.0,2560x1600 WQXGA,False,WiFi 6E + Bluetooth 5.2,Windows 11 Home,Integrated 80Wh,24.0
Latitude 3450,Business,8499,Black,Intel Core i5-1335U (13th Gen),8,512GB SSD M.2,14.0,1920x1080,False,"Intel Wi-Fi 6E AX211, 2x2, 802.11ax, Bluetooth wireless card",Dos,"3 Cell, integrated 54Wh",24.0
Lenovo IdeaPad 1 15IAU7,standard,1749,Cloud Grey,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"3 Cell, Integrated 42Wh",24.0
Microsoft Surface Studio,Business,10999,Platinum,Quad-core Intel Core H35 i7-11370H (11th Gen),32,2TB SSD,14.4,2400×1600,True,Wi-Fi 6 + Bluetooth 5.1,Windows 11 Home,Up to 18 hours of typical device usage,24.0
Asus ExpertBook B1 (B1402CVA-I58512B0D - 13th Gen Intel),Business,2099,Star Black,Intel Core i5-1335U (13th Gen),8,512GB SSD M.2,14.0,1920x1080,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
Microsoft Surface Pro 9,2-in-1,5999,Graphite,Intel Core i7-1265U (12th Gen) Evo Platform,16,256GB SSD M.2,13.0,2880X1920 (267 PPI),True,WiFi 6E (802.11ax) and Bluetooth 5.1,Windows 11 Home,Up to 15.5 hours of typical device usage,24.0
ThinkBook Plus G3 IAP,Business,5999,Storm Grey,Intel Core i7-12700H (12th Gen),32,1TB SSD M.2,17.3,3K (3072x1440),True,"Wi-Fi 6E, 11ax 2x2 + Bluetooth 5.1",Windows 11 Professional,Lithium 4 Cell,36.0
IdeaPad 3 15IAU7,standard,2349,Arctic Grey,Intel Core i7-1255U (12th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Dos,Integrated 45Wh,24.0
IdeaPad 1 15IAU7,standard,2199,ABYSS Blue,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"3 Cell, Integrated 42Wh",24.0
apple MacBook Air M2,standard,3999,Silver,Apple M2 chip,8,256GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6 + Bluetooth 5.0,macOS Monterey,Lithium Polymer (Li-Po),24.0
Lenovo ThinkPad E14 Gen 6 Intel,Business,3999,Black,Intel Core Ultra 7-155H,16,512GB SSD M.2,14.0,WUXGA 1920x1200 IPS,False,"Wi-Fi 6E, 802.11ax 2x2 + Bluetooth 5.3",Dos,Integrated 57Wh,24.0
Dell Latitude 3420,Business,3999,Black,Intel Core i7-1165G7 (11th Gen),8,512GB SSD M.2,14.0,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Dos,"3-cell, 41 Wh Li-ion",24.0
Acer Aspire 3 A315-24P-R9P0,standard,1349,Pure Silver,AMD Ryzen 5-7520U,8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,50Wh Li-ion battery,24.0
HP Elite x360 1040 14 inch G9 2-in-1,2-in-1,5999,Silver,Intel Core i7-1255U (12th Gen),16,512GB SSD M.2,14.0,WUXGA 1920x1200 IPS,True,Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3,Windows 11 Professional,"HP Long Life 3-cell, 51 Wh Li-ion",36.0
Vostro 3520,standard,1499,Carbon Black,Intel Core i3-1215U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Windows 11 Home,"3-cell, 41 Wh Li-ion",24.0
Lenovo IdeaPad Slim 3 15IRU8,standard,1699,Arctic Grey,Intel Core i3-1315U (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Windows 11 Home,Integrated 47Wh,24.0
Lenovo IdeaPad Slim 3 15IRH8,standard,1749,ABYSS Blue,Intel Core i5-13420H (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,Integrated 47Wh,24.0
Lenovo IdeaPad Slim 3 14IRH8,standard,2699,Arctic Grey,Intel Core i7-13620H (13th Gen),16,1TB SSD M.2,14.0,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Windows 11 Home,Integrated 47Wh,24.0
ThinkBook 14 G4 IAP,Business,2699,Mineral Grey,Intel Core i7-1255U (12th Gen),16,512GB SSD M.2,14.0,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Windows 10 Professional,Lithium 3 Cell,36.0
Asus ExpertBook B1 (B1502CBA-NJ2035 - 12th Gen Intel),Business,2299,Star Black,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
Asus TUF Gaming FX707VV4-HX033,Gaming,4899,Mecha Gray,Intel Core i7-13700H (13th Gen),16,1TB SSD M.2,17.3,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"90WHrs, 4S1P, 4-cell Li-ion",24.0
Asus TUF Gaming FX507ZC4-HN321,Gaming,2799,Mecha Gray,Intel Core i5-12500H (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"56WHrs, 4S1P, 4-cell Li-ion",24.0
Dell Latitude 3440,Business,2799,Black,Intel Core i7-1355U (13th Gen),8,512GB SSD M.2,14.0,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3 Cell, Integrated 42Wh",24.0
IdeaPad Gaming 3 15ACH6,Gaming,2199,Shadow Black,AMD Ryzen 5-5500H,16,512GB SSD M.2,15.6,1920 x 1080 FHD IPS,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Integrated 45Wh,24.0
Yoga Book 9 13IRU8,2-in-1,8999,Tidal Teal,Intel Core i7-1355U (13th Gen),16,1TB SSD M.2,13.3,2880x1800 OLED 400nits Glossy IPS,True,"Wi-Fi 6E, 11ax 2x2 + Bluetooth 5.1",Windows 11 Home,Integrated 80Wh,24.0
Dell Vostro 15 3520,Business,2899,Carbon Black,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Windows 11 Home,"4 Cell, integrated 54Wh",24.0
Lenovo ThinkPad E16 Gen 1,Business,2899,Graphite Black,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,16.0,WUXGA 1920x1200 IPS,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Integrated 57Wh,24.0
Lenovo LOQ 15IRX9,Gaming,4799,Gray,Intel Core i7-13650HX (13th Gen),24,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Windows 11 Home,Integrated 60Wh,24.0
Legion Go,Gaming,3099,Shadow Black,Extreme,16,1TB SSD M.2,8.8,2560x1600 WQXGA,True,"AMD Wi-Fi 6E RZ616, 11ax 2x2 + Bluetooth 5.3",Windows 11 Home,Li-Polymer 49.2Wh,24.0
Dell G16 7630 Gaming,Gaming,7799,Black,Intel Core i9-13900HX (13th Gen),32,1TB SSD M.2,16.0,2560 x1600 QHD,False,"Intel Wi-Fi 6 AX211, 2x2, 802.11ax, Bluetooth wireless card",Dos,"6-Cell Battery, 86WH, integrated",24.0
Asus Vivobook X1502ZA-EJ427,standard,1249,Quiet Blue,Intel Core i3-1215U (12th Gen),4,256GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,Lithium Ion (Li-Ion) 3 Cell,24.0
ThinkPad E14 Gen 5 (Intel),Business,1249,Graphite Black,Intel Core i5-1335U (13th Gen),8,256GB SSD M.2,14.0,1920x1200,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Integrated 47Wh,24.0
Asus Vivobook X1500EA-EJ3646,standard,1399,Transparent Silver,Intel Core i5-1135G7 (11th Gen),4,256GB SSD M.2 + 16GB Intel Optane Memory,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,Lithium Ion (Li-Ion) 2 Cell,24.0
ThinkPad E14 Gen 5 (Intel),Business,1399,Graphite Black,Intel Core i7-13700H (13th Gen),16,512GB SSD,14.0,1920x1200,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Integrated 57Wh,24.0
ASUS TUF FX507ZC4-HN008,Gaming,3399,Gray,Intel Core i7-12700H (12th Gen),16,512GB SSD M.2,15.6,1920x1080,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.2",Dos,"56WHrs, 4S1P, 4-cell Li-ion",24.0
E510MA-BR1494,standard,849,Peacock Blue,Intel Celeron N4020,4,256GB SSD M.2,15.6,1366 x 768 HD,False,Wi-Fi + Bluetooth,Dos,Lithium Ion (Li-Ion) 3 Cell,24.0
Apple MacBook Pro M3 Pro,standard,9299,Space Black,Apple M3 Pro chip,18,512GB SSD,14.2,3024x1964,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,72.4-watt-hour lithium-polymer battery,24.0
Lenovo IdeaPad 1 15IAU7,standard,994,Cloud Grey,Intel Core i3-1215U (12th Gen),4,512GB SSD M.2,15.6,1366 x 768 HD,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"3 Cell, Integrated 42Wh",24.0
Acer Nitro 5 AN515-58-71EW,Gaming,3399,Obsidian Black,Intel Core i7-12650H (12th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,57Wh Li-ion battery,24.0
HP 255 G9,Business,1999,Asteroid Silver,AMD Ryzen 7-5825U,16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3-cell, 41 Wh Li-ion",24.0
Dell G15 5530 Gaming,Gaming,5299,Dark Shadow Grey,Intel Core i7-13650HX (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,"Intel Wi-Fi 6 AX211, 2x2, 802.11ax, Bluetooth wireless card",Dos,"6-Cell Battery, 86WH, integrated",24.0
HP EliteBook 640 14 inch G9,Business,2399,Silver,Intel Core i5-1235U (12th Gen),8,256GB SSD M.2,14.0,1920 x 1080 FHD IPS,False,Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3,Dos,"HP Long Life 3-cell, 51 Wh Li-ion",36.0
Lenovo IdeaPad Flex 5 14ALC7,2-in-1,2094,Storm Grey,AMD Ryzen 5-5500U,8,512GB SSD M.2,14.0,1920x1200,True,Wi-Fi 6 + Bluetooth 5.3,Windows 11 Home,Integrated 52.5Wh,24.0
